[2025-04-30 17:07:26,789: INFO: main: welcome to info]
[2025-04-30 17:07:41,681: INFO: main: welcome to info]
[2025-05-05 17:22:23,120: INFO: comman: yaml file: config\config.yaml loaded successfully]
[2025-05-05 17:22:23,124: INFO: comman: yaml file: params.yaml loaded successfully]
[2025-05-05 17:22:23,125: INFO: comman: created directory at: artifacts]
[2025-05-05 17:22:23,127: INFO: comman: created directory at: artifacts/data_ingestion]
[2025-05-05 17:22:23,128: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-05-05 17:23:04,023: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-05-05 17:54:54,244: INFO: comman: yaml file: config\config.yaml loaded successfully]
[2025-05-05 17:54:54,246: INFO: comman: yaml file: params.yaml loaded successfully]
[2025-05-05 17:54:54,247: INFO: comman: created directory at: artifacts]
[2025-05-05 17:54:54,248: INFO: comman: created directory at: artifacts/data_ingestion]
[2025-05-05 17:54:54,249: INFO: 986331348: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-05-05 17:55:30,969: INFO: 986331348: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-05-05 18:04:38,448: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2025-05-05 18:04:38,449: INFO: comman: yaml file: config\config.yaml loaded successfully]
[2025-05-05 18:04:38,451: INFO: comman: yaml file: params.yaml loaded successfully]
[2025-05-05 18:04:38,452: INFO: comman: created directory at: artifacts]
[2025-05-05 18:04:38,452: INFO: comman: created directory at: artifacts/data_ingestion]
[2025-05-05 18:04:38,453: INFO: data_ingestion_01: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-05-05 18:05:03,801: INFO: data_ingestion_01: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-05-05 18:05:04,305: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
[2025-05-05 18:05:49,724: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2025-05-05 18:05:49,725: INFO: comman: yaml file: config\config.yaml loaded successfully]
[2025-05-05 18:05:49,726: INFO: comman: yaml file: params.yaml loaded successfully]
[2025-05-05 18:05:49,726: INFO: comman: created directory at: artifacts]
[2025-05-05 18:05:49,727: INFO: comman: created directory at: artifacts/data_ingestion]
[2025-05-05 18:05:49,727: INFO: data_ingestion_01: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-05-05 18:06:14,706: INFO: data_ingestion_01: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-05-05 18:06:15,063: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
